variable,year,mean,sd,lower,upper
b_t,1950,19958.5755945646,9558.192102406,10971.4163650394,35079.3009352767
b_t,1951,29942.5978166226,18346.598742914,13657.9571654878,57264.945317054
b_t,1952,27614.0925982675,16560.2185694893,10641.3457678302,55588.1226289914
b_t,1953,31427.6756827703,16831.7403129745,12979.1920596188,59164.2745125271
b_t,1954,23290.3753742146,13973.855530716,10661.9838470967,43711.1303134017
b_t,1955,30173.8042605911,16262.3637445419,13928.2885770037,60901.8133844674
b_t,1956,29221.3215377238,18940.8204852683,11290.6172931373,60688.3949362383
b_t,1957,16534.4573297619,10556.9915281091,7263.88411563824,33862.8195398394
b_t,1958,16961.0477895496,11076.7972773615,6705.25487181534,35305.7441570164
b_t,1959,16753.5626381098,11189.4215274964,5814.47068270708,34714.4906410012
b_t,1960,17225.9891499912,11211.5903929032,5778.46436882833,35726.0410023721
b_t,1961,20833.3366575887,11566.8161101139,8500.81247930746,41999.6949764306
b_t,1962,19354.1936372462,11557.8860482741,8387.66146981402,37439.9508800729
b_t,1963,18343.5125759539,11976.3457028222,6783.94334871994,38094.7638454114
b_t,1964,17128.8277394887,9879.81148672567,7178.23411120586,34296.6596356392
b_t,1965,15312.9004481233,9560.53826579177,6963.5038351472,32368.8444143013
b_t,1966,12165.8808323531,6769.03270155635,5359.5318859939,23915.2874490293
b_t,1967,15737.2976709749,10514.8295759403,6267.88878319192,33403.1243837845
b_t,1968,18274.9501305741,11512.2008591898,6638.40280534312,38310.4102494717
b_t,1969,17423.9733976819,11622.3136422926,7228.76362422671,34947.7008074748
b_t,1970,16191.0452194658,9396.82323242771,7476.3529607796,31334.9745067414
b_t,1971,20087.5678911616,11997.4741665129,8015.90910161218,39068.1143748784
b_t,1972,15931.9038503369,9376.01793138346,6232.9285563507,33626.0332240235
b_t,1973,17095.0790898744,11074.927187782,6793.91087285426,37654.2348751502
b_t,1974,13143.8300820531,7955.45786094742,5313.89904467361,27405.3053134916
b_t,1975,7761.38752751236,4795.12862296918,3211.74534355223,15870.0333660138
b_t,1976,9249.10247303037,5735.69727945148,3800.57880028445,18487.9426212538
b_t,1977,9586.65436227839,5927.01320293964,3620.91581447122,19675.8872948039
b_t,1978,5946.31928485614,3372.01274741084,2544.96515161737,11767.7670664282
b_t,1979,2983.37816436514,1873.96237119298,1186.47582897374,6008.28188053001
b_t,1980,2982.18450516052,1786.67874012504,1300.27279652384,5725.18992869889
b_t,1981,3704.90951546528,2219.77513697655,1706.67180555742,6939.11222168704
b_t,1982,4475.42987629207,2709.65676403752,1921.94428707115,9314.1802741778
b_t,1983,5769.19752494475,3597.99676778748,2290.6862124072,11966.9010877376
b_t,1984,4650.40988515857,3108.69574547179,1804.4081049971,9784.92169082259
b_t,1985,6704.70529281093,4266.46650765834,2872.20223490243,13360.9950475196
b_t,1986,5394.09286645124,3297.06712489466,2332.55856229188,10796.3972455411
b_t,1987,4702.22749839502,2767.91644208645,1931.65511559296,9446.70625731719
b_t,1988,4515.01358054326,2647.96977040546,1956.62479419684,8873.62506962186
b_t,1989,3295.97463666884,1971.58008571734,1360.23935666526,6617.01424995154
b_t,1990,3070.69053113085,1982.00842016336,1212.28322622049,6331.75303440585
b_t,1991,2902.26598752691,1800.94387379267,1159.22787249442,5706.56125363296
b_t,1992,3892.49189032746,2634.99314825336,1549.55272946728,8120.42794444072
b_t,1993,3304.26320375868,2197.83788689405,1370.37594768821,6729.2628369736
b_t,1994,3032.64402790759,1810.46285046299,1328.2338353686,6156.87120539578
b_t,1995,3010.23652412218,1571.73462793103,1420.55573514232,5704.11253118393
b_t,1996,2796.35081870142,1692.23491832363,1232.11744978588,5583.43434302011
b_t,1997,2028.57634870865,1255.95652149696,829.917426475851,4261.9471601992
b_t,1998,1347.85828279326,939.764434053609,530.97672330333,2713.41807255981
b_t,1999,821.923674137159,514.292423641093,354.432123304165,1624.31479046346
b_t,2000,891.312954814881,512.249695754518,384.618083712941,1804.02299905007
b_t,2001,1906.87484604453,1039.91009116778,895.228082741465,3727.91546420207
b_t,2002,2556.10380126248,1592.25720405918,1127.9155109845,4969.53354599658
b_t,2003,2744.66070073249,1484.62858544737,1215.40254178472,5329.22898855187
b_t,2004,2029.88584734393,1217.09942731279,863.760458577791,4196.32464820801
b_t,2005,1877.1541320177,1131.30396837567,830.811966852238,3755.28331809689
b_t,2006,1479.64221588499,790.874431474612,652.735137611659,2939.26804013072
b_t,2007,1456.14049279909,800.227093867486,687.513729276528,2746.18331123122
b_t,2008,2364.37577521132,1374.80480939979,1027.48602698374,4703.18264252955
b_t,2009,2360.80756395553,1377.12230958891,1166.53749162612,4742.14320681911
b_t,2010,2944.45780053504,1670.44206468432,1293.14585551841,5703.85980996747
b_t,2011,14097.3576541217,7833.61770516214,6462.18762591417,27182.3671930095
b_t,2012,20918.4005045619,12052.7921797978,9911.38983982939,40477.0243613514
b_t,2013,21660.7761779767,11870.3892350893,9846.77860301284,42419.7025858416
b_t,2014,21415.0741631188,11972.0118524268,9250.15536563023,45105.912508831
b_t,2015,20616.6103618547,12463.7610262974,8620.37129316425,41709.4159225012
b_t,2016,18694.302995019,10315.8006171998,8882.21418561973,36655.5905445589
b_t,2017,18222.6780770865,10792.7101359684,7795.80365819799,38284.5362560286
b_t,2018,16415.7991536895,9708.41154687035,6966.5868397104,32807.2726268642
b_t,2019,12749.0044429205,6691.8577641159,6060.55803183266,23531.2009109139
bmsy,1950,13143.9934440813,6333.40087055794,7187.50539384431,23053.4248759418
ck,1950,0.017618222535914,0.00607822020684861,0.00867552350981536,0.0278260667472378
ck,1951,0.026427333803871,0.00911733031027292,0.013013285264723,0.0417391001208567
ck,1952,0.017618222535914,0.00607822020684861,0.00867552350981536,0.0278260667472378
ck,1953,0.0308318894378495,0.0106368853619851,0.0151821661421769,0.0486956168076661
ck,1954,0.0132136669019355,0.00455866515513646,0.00650664263236152,0.0208695500604283
ck,1955,0.026427333803871,0.00911733031027292,0.013013285264723,0.0417391001208567
ck,1956,0.026427333803871,0.00911733031027292,0.013013285264723,0.0417391001208567
