variable,year,mean,sd,lower,upper
b_t,1950,217931.471327695,140652.246895504,106637.93319251,414511.061102889
b_t,1951,140009.750498103,94483.9272264156,63757.0597932407,278029.169728874
b_t,1952,122958.959755835,85543.991926916,53222.6659416981,249189.724412293
b_t,1953,130731.374252167,91356.9583758285,56665.0678637375,258703.504574807
b_t,1954,180803.917814302,130354.271014705,80033.9608633715,356985.384370538
b_t,1955,215552.542881693,155558.40790745,93942.5187826977,439373.525246191
b_t,1956,269578.954196435,183471.377603689,118915.181033345,555894.089308729
b_t,1957,320994.388805112,231558.693773985,135088.168604345,653821.306034832
b_t,1958,334918.312200855,242932.203863531,145873.061104526,659255.362761537
b_t,1959,318719.755345973,227620.627999082,133882.493222554,652036.162759783
b_t,1960,287330.048615114,201236.778450552,123040.731031526,606755.834852805
b_t,1961,373398.554748465,253187.407333247,158102.461043099,739714.626248208
b_t,1962,388903.040260613,276330.310950201,165053.728897131,792697.7706208
b_t,1963,420001.636762567,301591.26377916,177762.888265511,844709.697328426
b_t,1964,463193.366441756,327551.947344111,197571.501664185,936893.677709555
b_t,1965,516294.409225942,355662.494240271,219314.814664441,1061088.70653516
b_t,1966,675254.140853481,475248.168659299,296527.768099272,1369947.92742816
b_t,1967,666995.135096357,467003.259629124,285178.1017192,1349105.61624608
b_t,1968,722594.544860193,519842.968690885,299045.179490902,1441093.12366141
b_t,1969,784752.02266447,577700.940409004,336332.030469223,1597649.4794881
b_t,1970,771453.653228007,557730.248959773,323768.10919412,1569189.427312
b_t,1971,835684.303958407,588014.577344375,359509.255404841,1723710.43598112
b_t,1972,771477.26639739,534086.18983705,328621.23714222,1589938.05753878
b_t,1973,724756.804682772,509080.52974468,304994.142106573,1485631.19978255
b_t,1974,404223.121429599,292275.649294542,160140.984970748,833910.90344397
b_t,1975,366045.523453435,262237.1020986,152665.628371992,747290.000582322
b_t,1976,346243.374667592,239766.170402915,144150.216574378,680783.515890011
b_t,1977,335904.040543274,238572.989861969,141199.458363006,669615.065761647
b_t,1978,354646.198161263,243194.356842026,150648.116962125,713210.618353428
b_t,1979,398510.526196172,276645.105182018,167547.015567743,830053.235506493
b_t,1980,484073.202274371,327070.928515307,196604.502133838,1014007.38392959
b_t,1981,540244.858676714,378853.600030254,231734.658847307,1101710.02936137
b_t,1982,562211.770516074,401805.600139293,244124.146796811,1106458.34478398
b_t,1983,543278.500616703,373665.163845755,232429.797617827,1116031.87246299
b_t,1984,505115.778412242,350423.73971098,209448.642476687,1038679.32337045
b_t,1985,572684.205839773,400293.013506382,248408.598913051,1148317.16683721
b_t,1986,480214.148281935,346607.647036171,195323.28282787,972384.708948568
b_t,1987,372822.472605191,268497.059644331,158302.343299408,742009.881531287
b_t,1988,357914.004089918,246551.770091472,156551.175621546,722300.471420529
b_t,1989,331613.534251666,227828.382808951,147499.024487997,672287.460759033
b_t,1990,309666.576706069,217628.238128211,132812.819975069,628485.119125857
b_t,1991,298149.97783077,210996.557126178,131565.90533547,601770.547454517
b_t,1992,295018.142470897,206950.168847818,128620.836900599,608476.592537207
b_t,1993,288203.285707587,203451.682779461,123451.267715714,574853.090673172
b_t,1994,271209.330238397,186175.521757036,117126.452514818,554511.118201809
b_t,1995,230699.240854837,157593.932811287,99611.8556349532,464166.925436478
b_t,1996,208918.418098732,144962.077127132,88695.3120435713,418011.118003102
b_t,1997,198486.115606785,138392.578707086,85371.7125325489,400541.605374877
b_t,1998,183570.62882356,135228.71086482,76494.7341571063,367536.176691401
b_t,1999,188481.648499626,129633.709893858,82298.3681229958,373005.806146683
b_t,2000,185700.048464482,131577.264592716,79253.6890728745,375467.453245683
b_t,2001,183921.048751169,127335.549964411,81371.9110997458,377334.154023067
b_t,2002,171104.893010138,118337.380911923,74537.9622708966,350679.301752926
b_t,2003,160300.871640129,112034.087340099,70324.8413091421,320744.538211115
b_t,2004,149108.348090362,101843.911491427,66547.716365965,296129.870398729
b_t,2005,145128.772837963,98001.9918822355,66236.2923936665,290698.895420675
b_t,2006,123277.948416308,83516.476695811,53441.1203628912,249914.642173132
b_t,2007,109230.125168124,72826.9840718776,47780.449160695,212758.773615586
b_t,2008,113670.51751483,80811.9676396428,51694.3603008528,218588.196726075
b_t,2009,113384.138912947,81515.8811416154,51399.0286419274,221936.742946301
b_t,2010,111759.517243933,78898.1365238034,50138.7992985557,219891.549732894
b_t,2011,115069.164615756,78981.3167910832,49946.9752862813,232876.77521693
b_t,2012,111823.435667734,75038.8587137736,51257.1397660359,226979.284878229
b_t,2013,99599.9867216502,66598.4542235311,45012.291834256,196352.74061241
b_t,2014,94672.1204350598,66700.4558626126,43295.0126705412,189276.738556506
b_t,2015,85990.1074309528,57486.1357229988,38352.8947049679,178764.993588137
b_t,2016,77453.3012509289,52172.1502670724,34933.7569309957,152992.913777867
b_t,2017,75337.2160501165,49869.9074841919,33749.6014853879,150105.409580528
b_t,2018,76745.1849918442,51963.9745094119,34692.8368167694,152727.060881135
b_t,2019,81767.2158319314,55347.9010039127,36252.4617478622,162175.696681837
bmsy,1950,188505.552164297,115959.346464969,95363.7817200867,350190.987705983
ck,1950,0.00321329871854474,0.00119694809403201,0.00142779303260504,0.00524308088206899
ck,1951,0.00321329871854474,0.00119694809403201,0.00142779303260504,0.00524308088206899
ck,1952,0.00321329871854474,0.00119694809403201,0.00142779303260504,0.00524308088206899
ck,1953,0.00321329871854474,0.00119694809403201,0.00142779303260504,0.00524308088206899
ck,1954,0.00642659743708949,0.00239389618806402,0.00285558606521008,0.010486161764138
ck,1955,0.00642659743708949,0.00239389618806402,0.00285558606521008,0.010486161764138
ck,1956,0.00963989615563423,0.00359084428209603,0.00428337909781512,0.015729242646207
ck,1957,0.012853194874179,0.00478779237612803,0.00571117213042015,0.020972323528276
ck,1958,0.012853194874179,0.00478779237612803,0.00571117213042015,0.020972323528276
ck,1959,0.0131745247460335,0.00490748718553124,0.00585395143368066,0.0214966316164829
ck,1960,0.00899723641192529,0.00335145466328962,0.00399782049129411,0.0146806264697932
ck,1961,0.0192797923112685,0.00718168856419205,0.00856675819563023,0.031458485292414
ck,1962,0.0173518130801416,0.00646351970777285,0.00771008237606721,0.0283126367631726
ck,1963,0.0192797923112685,0.00718168856419205,0.00856675819563023,0.031458485292414
ck,1964,0.0231357507735222,0.00861802627703046,0.0102801098347563,0.0377501823508968
ck,1965,0.025063730004649,0.00933619513344967,0.0111367856543193,0.0408960308801382
ck,1966,0.0472354911626078,0.0175951369822705,0.0209885575792941,0.0770732889664142
ck,1967,0.0382382547506825,0.0142436823189809,0.016990737088,0.062392662496621
ck,1968,0.0475568210344622,0.0177148317916737,0.0211313368825546,0.0775975970546211
ck,1969,0.0481994807781712,0.0179542214104801,0.0214168954890756,0.0786462132310349
ck,1970,0.044664852187772,0.0166375785070449,0.01984632315321,0.072878824260759
