variable,year,mean,sd,lower,upper
b_t,1950,269829.375818091,129720.490055069,126737.229182289,515911.466489241
b_t,1951,140046.207468264,75591.4518618975,56838.0228158842,274989.490787661
b_t,1952,108603.430980641,59704.565247355,45126.8818852167,218251.105918786
b_t,1953,80000.3428597923,43568.3079571937,33093.7019370591,157830.972809001
b_t,1954,103284.856557113,56122.5966105371,42246.1728599242,205979.364262416
b_t,1955,100808.419775107,57135.1886242011,40148.572186349,206380.007383363
b_t,1956,104827.206221817,57530.6537793501,42934.8270827891,210861.511807443
b_t,1957,108921.952859878,59342.468125258,44356.8192939104,217560.910036493
b_t,1958,126006.158623659,70910.6806721894,50903.4051537159,254084.439006011
b_t,1959,126509.415250046,71655.5716969839,50890.9179233198,259277.41481364
b_t,1960,122566.950585249,68364.5082349096,51676.3792591731,242565.800123688
b_t,1961,122303.333435202,68082.3699412388,49256.9139256158,241989.133111236
b_t,1962,123847.124576598,68135.0165400879,49928.2521351275,248703.957208397
b_t,1963,138814.028813313,76116.7528625841,57334.4430372592,278181.456832236
b_t,1964,207231.07752679,114385.570060817,82847.9622368162,419391.463593559
b_t,1965,243284.459107847,138964.715279166,96270.6131825778,490018.310830514
b_t,1966,308071.230528051,169604.065529826,124184.60795346,629730.287658659
b_t,1967,465728.395207076,250995.056214009,185956.360185497,911486.525523798
b_t,1968,445625.146605714,245416.572810969,183690.235433863,902048.407334992
b_t,1969,470366.4867543,261203.236107636,190658.68622821,957710.161035963
b_t,1970,398606.923705601,221957.233740959,158911.349453074,828868.550527699
b_t,1971,313375.994386566,173736.226216643,127699.012869811,642202.693578657
b_t,1972,388449.102407233,216597.005206831,160142.175929791,791433.314663323
b_t,1973,434244.373467355,250680.757281793,168932.813495154,899879.365510816
b_t,1974,337272.763884495,188416.872049981,136125.442522174,684828.987771111
b_t,1975,241733.325149769,131078.767387444,99643.9248874478,479625.759410425
b_t,1976,279726.221855822,159800.852707081,115335.187251536,557932.792902461
b_t,1977,226313.361987715,127129.776089174,91579.5078879874,457526.205941638
b_t,1978,298430.459769026,160258.645291888,123454.328287841,599834.783749151
b_t,1979,414059.038695461,227017.8892918,171326.237261102,829303.77489335
b_t,1980,536946.156354983,289886.33969418,218919.684871197,1050457.31309954
b_t,1981,544392.305488732,298931.370364771,227932.494836315,1087317.4474531
b_t,1982,694998.040245659,375916.738809665,285535.070222221,1394572.05712171
b_t,1983,423933.458550079,236556.113328401,175867.868631581,843514.197506195
b_t,1984,291536.121685259,155292.167606306,119320.952672301,577637.887775704
b_t,1985,415269.70167073,221169.027333705,176518.299136689,816051.001160017
b_t,1986,520717.146230365,287946.310928059,209982.753770062,1054238.65821526
b_t,1987,414071.804253863,224765.212199141,171973.145666639,830877.04887715
b_t,1988,533976.60687752,295912.567686887,219223.074638844,1084939.85781473
b_t,1989,371809.162766937,203369.781323975,152585.912961941,743332.114925487
b_t,1990,311811.273261625,171959.473331713,124556.691551702,615716.271739582
b_t,1991,240901.618948492,130301.31170772,100392.874267295,475116.315043415
b_t,1992,300860.476355813,164909.500048086,125467.873888175,590441.768461468
b_t,1993,293448.978533284,166070.165990292,118642.707889166,593323.267336755
b_t,1994,433889.223877965,238692.299351424,184465.874181953,875767.216759131
b_t,1995,486717.886995396,264498.619676295,205317.830341248,950190.825556247
b_t,1996,519541.670171369,278556.030139333,216022.764657679,1024121.60295762
b_t,1997,564471.951817399,319824.896807342,228020.962246182,1102467.23791416
b_t,1998,434214.050463111,233966.444309565,172178.942640185,864467.419892889
b_t,1999,331620.367347369,181136.937940944,134233.574097308,682460.606388319
b_t,2000,281693.003415623,155964.750671808,113596.723699438,561568.634237778
b_t,2001,306594.616259645,165176.05310096,127715.705991484,613695.439787455
b_t,2002,372637.636980796,207945.481195989,156329.267155562,728707.516396164
b_t,2003,383653.840646083,209776.206757353,156926.263698276,760477.393528401
b_t,2004,452477.639023219,249987.795850294,184076.231242871,915543.24813839
b_t,2005,448211.098319955,244962.878455401,184578.516535299,892424.748698777
b_t,2006,440398.09724827,246023.657857165,180034.386494093,871932.993127146
b_t,2007,402871.485886982,214961.698165515,171098.572890346,782353.234316246
b_t,2008,414012.719391528,222175.863112043,169827.12639075,817861.164253582
b_t,2009,379806.290246484,210376.687057871,158391.886027396,768268.071553936
b_t,2010,371078.952954362,210584.957495958,149760.515357827,739702.869851298
b_t,2011,388321.863911141,212563.411909702,158621.183704409,777743.181567
b_t,2012,383815.02764949,205331.145844042,160944.543687982,769897.03912006
b_t,2013,362422.6237112,197389.864369459,151909.891626462,738965.254710307
b_t,2014,351287.844305661,192289.675408213,141614.060740258,711869.960429339
b_t,2015,335099.1427096,186192.16338399,137744.175613572,681377.840093391
b_t,2016,253029.200000455,145237.716358311,105495.234649309,502222.802973197
b_t,2017,239353.252024597,131546.249795422,100459.838725134,475115.837667831
b_t,2018,216091.925652744,119125.078683056,91010.732758095,430459.831540729
b_t,2019,201108.383030449,106365.258521179,86859.3636953398,394052.342425701
bmsy,1950,199306.280521141,93099.2186973071,95393.3985166493,373013.538709094
ck,1950,0.00359657742366492,0.00146359016657659,0.0016085211296101,0.00628974363860531
ck,1951,0.00179828871183246,0.000731795083288297,0.000804260564805051,0.00314487181930265
ck,1952,0.00209800349713787,0.000853760930503013,0.00093830399227256,0.00366901712251976
ck,1953,0.000899144355916229,0.000365897541644148,0.000402130282402526,0.00157243590965133
ck,1954,0.00239771828244328,0.000975726777717729,0.00107234741974007,0.00419316242573687
ck,1955,0.00179828871183246,0.000731795083288297,0.000804260564805051,0.00314487181930265
ck,1956,0.00209800349713787,0.000853760930503013,0.00093830399227256,0.00366901712251976
ck,1957,0.00209800349713787,0.000853760930503013,0.00093830399227256,0.00366901712251976
ck,1958,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1959,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1960,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1961,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1962,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1963,0.0029971478530541,0.00121965847214716,0.00134043427467509,0.00524145303217109
ck,1964,0.00719315484732983,0.00292718033315319,0.00321704225922021,0.0125794872772106
ck,1965,0.00689344006202442,0.00280521448593847,0.0030829988317527,0.0120553419739935
ck,1966,0.00869172877385688,0.00353700956922677,0.00388725939655775,0.0152002137932962
ck,1967,0.0209800349713787,0.00853760930503013,0.0093830399227256,0.0366901712251976
ck,1968,0.0152854540505759,0.00622025820795052,0.00683621480084294,0.0267314104640726
ck,1969,0.0161845984064921,0.00658615574959467,0.00723834508324546,0.0283038463737239
ck,1970,0.0128877357681326,0.00524453143023279,0.00576386738110287,0.0225382480383357
ck,1971,0.00719315484732983,0.00292718033315319,0.00321704225922021,0.0125794872772106
ck,1972,0.0137868801240488,0.00561042897187694,0.00616599766350539,0.024110683947987
ck,1973,0.0170837427624084,0.00695205329123882,0.00764047536564799,0.0298762822833752
ck,1974,0.011688876626911,0.00475666804137393,0.00522769367123283,0.0204416668254672
ck,1975,0.00591636986192879,0.0024076058240185,0.00264601725820862,0.0103466282855057
ck,1976,0.0120904944392202,0.00492010227664165,0.0054073118640393,0.0211440215317782
ck,1977,0.00618611316870366,0.00251737508651174,0.00276665634292938,0.0108183590584011
ck,1978,0.0107927294188478,0.00439199015820193,0.00482690382310498,0.0188744723688481
ck,1979,0.01767418088946,0.00719232601025181,0.00790454091775898,0.0309088485307129
ck,1980,0.0270043021560174,0.0109891228340459,0.0120773128148225,0.0472254918198615
ck,1981,0.0247924070404635,0.0100890148816013,0.0110880723201123,0.0433572994821192
ck,1982,0.0450321464921378,0.0183253685440111,0.0201400249769932,0.0787528318083706
ck,1983,0.0213756584879818,0.00869860422335355,0.00955997724698271,0.0373820430254442
ck,1984,0.0103791230151263,0.00422367728904562,0.00464192389319982,0.0181511518504085
ck,1985,0.0243728063410359,0.00991826269550071,0.0109004115216578,0.0426234960576153
ck,1986,0.0375033110852659,0.0152615864619774,0.0167728540790093,0.0655863017915568
ck,1987,0.0310114888355507,0.0126198062113067,0.0138694734400631,0.0542333145238743
ck,1988,0.0530015626334087,0.0215684404214504,0.0237042397133542,0.0926898554209135
ck,1989,0.0302172446544914,0.0122965967161877,0.0135142583572742,0.0528443294703489
