variable,year,mean,sd,lower,upper
b_t,1950,96743.9960861288,41739.1241297103,56663.1384480163,182776.977763484
b_t,1951,89583.9946261898,43114.5319139738,48149.537619504,174812.17091042
b_t,1952,100013.170140951,47574.4919600586,54236.2696916381,193011.458333292
b_t,1953,95119.8311857585,53467.0743437184,45982.7287563132,196142.891117157
b_t,1954,113837.385084335,62934.2486264859,56781.0989193313,224682.005715744
b_t,1955,138874.014536278,71920.2874120846,74218.8414661757,265413.401570372
b_t,1956,150477.078874407,80826.3676543974,75030.2754631331,312641.572897986
b_t,1957,164329.131339679,89223.3449222212,82676.6112780217,310844.167817682
b_t,1958,162580.680921243,88655.6299611618,77231.0509165845,346286.092351548
b_t,1959,169451.467664626,89472.9549814431,94214.0303469698,327037.454825528
b_t,1960,143767.105993545,76376.46500338,74142.9030577787,265443.115236101
b_t,1961,149696.467704728,84704.9927556139,67401.7300683072,290878.686246007
b_t,1962,106072.039004068,55477.6194050919,52715.3636674499,201785.699180816
b_t,1963,101343.48761888,49387.0889762017,53101.3115821389,193966.112563899
b_t,1964,101711.960960145,48641.2237083063,53708.8255214818,191643.229735975
b_t,1965,94795.2812977051,49141.9432703835,50438.7719400259,176160.458094648
b_t,1966,68036.8064423389,37156.7476950154,36950.2571516588,126584.776077022
b_t,1967,66228.3958347202,38254.1246830015,32852.5005032008,142048.919892015
b_t,1968,65533.74845689,30724.4792794949,34883.6800027383,124980.604964289
b_t,1969,72444.3487052867,35381.9203335857,37001.5433597918,144038.290026203
b_t,1970,77880.1809306749,39400.8632505332,43414.8247413709,148827.382614097
b_t,1971,100853.408823343,54358.3189990243,49670.4111722878,208369.386877656
b_t,1972,100039.513059603,51284.2801324387,54082.0207310485,194051.359249718
b_t,1973,61769.3456428179,28720.3405799217,34225.5355509185,110800.43854228
b_t,1974,100610.292581604,50508.1836097604,52492.8471010994,198896.40895742
b_t,1975,144265.829671683,77698.9783913241,69166.1359164741,291754.571631435
b_t,1976,172691.709167478,90432.4834469965,86882.1236467925,340711.390681466
b_t,1977,191598.411932319,100854.820118124,97722.8812216241,375294.115890416
b_t,1978,215502.596845168,108930.422364933,106041.545136294,418652.069615642
b_t,1979,202715.509267002,107123.35317771,100885.147178111,407808.89736774
b_t,1980,209940.374669466,99325.8001586617,103751.511509036,386587.248628265
b_t,1981,215726.254285826,133913.205280162,107559.70698757,446395.690152418
b_t,1982,88847.9657557466,52151.2190388443,37207.0018426219,181503.451113253
b_t,1983,50421.0620067369,29331.8764584434,25399.3815070674,100902.572244996
b_t,1984,50530.8090300486,29427.4761294653,27366.6018199831,101505.757188472
b_t,1985,62561.1832869809,33141.1618354456,35403.5624906657,120892.825221218
b_t,1986,52303.6534098608,25673.3442198687,29622.9961863677,100622.642247925
b_t,1987,39401.98110405,20668.3316509356,21025.075085405,78305.8432643309
b_t,1988,34578.2380485933,17268.6740450453,17473.0967341125,66084.3526550388
b_t,1989,30799.9876960032,14218.3137708571,17136.8018552308,57398.0072331714
b_t,1990,29746.0395008386,14730.2904380613,17123.1772726999,53194.7879471735
b_t,1991,28612.7972237587,14504.7105990616,15961.910757498,53420.7446988073
b_t,1992,28465.2774781821,14936.4345359824,14591.6179037532,55118.1290717473
b_t,1993,27828.9268469788,12812.7977321597,14924.0503217291,51682.9530413006
b_t,1994,30302.8779823119,16043.8260461646,16508.1195554659,57263.2538745178
b_t,1995,32214.5087443475,16958.1756365456,17911.174440115,63797.7150944821
b_t,1996,42505.9997604263,21090.7664912968,23869.4284210152,83380.5696337025
b_t,1997,36624.9215354427,18051.7489154271,21225.1431565837,66987.5399129309
b_t,1998,23710.546257112,11355.1020569308,13105.2475810411,45885.4007790882
b_t,1999,21691.4874691001,11526.7672000431,11424.9523495438,42408.0265593998
b_t,2000,23943.2264079991,11423.0107944626,13424.6240027593,43814.6018009756
b_t,2001,24273.311162302,12104.2859271642,14208.714427175,46274.3332274121
b_t,2002,23523.0464456854,11742.9030774723,12954.3437085298,45072.236291669
b_t,2003,25123.7090535132,11926.1305006031,13557.4617283406,47092.4844391608
b_t,2004,25146.865356348,11149.6914132921,14532.2667550328,46133.7116984011
b_t,2005,23260.8632182268,12129.3782472009,11803.5386868132,44287.841833831
b_t,2006,25827.7286261572,12577.2980911418,14263.7815337946,50135.7894106763
b_t,2007,23696.406692987,11583.9272789913,13130.1002305326,45071.0909777063
b_t,2008,24180.0172280776,10922.5820467153,13367.6182037664,45296.8726879311
b_t,2009,24439.0295673835,12715.6177234729,13819.0474759505,44376.9378707512
b_t,2010,22552.6292704445,11416.5812033115,12456.7334941288,41652.0543704541
b_t,2011,22016.624433821,9303.54488684366,12169.0167256105,38911.6851255487
b_t,2012,21515.8221275662,10221.187709317,11876.8385845479,40414.3839671945
b_t,2013,19471.6390290314,9382.16031081747,10382.8092159647,35531.4548076442
b_t,2014,19712.3220716678,9784.24035551803,11197.7344159674,36994.7230776941
b_t,2015,19297.4779207829,9256.69488739119,11593.2262633567,37043.5666017279
b_t,2016,17312.2537091155,8157.7576306912,9805.31123599201,31781.8622739509
b_t,2017,17579.3928952527,8005.59086404571,9331.86894537402,33093.15387048
b_t,2018,20590.8560207464,9122.99339682209,12060.2723923553,37165.5881204621
b_t,2019,28460.1347518113,14294.082167127,15572.8516785054,55146.9326860214
bmsy,1950,67660.890981623,28145.29392666,41177.7174052632,121589.10049484
ck,1950,0.0165628404315511,0.0048349322301773,0.00822442616522861,0.0242849789571651
ck,1951,0.0165628404315511,0.0048349322301773,0.00822442616522861,0.0242849789571651
ck,1952,0.0248442606473266,0.00725239834526596,0.0123366392478429,0.0364274684357476
ck,1953,0.0165628404315511,0.0048349322301773,0.00822442616522861,0.0242849789571651
ck,1954,0.0248442606473266,0.00725239834526596,0.0123366392478429,0.0364274684357476
ck,1955,0.0331256808631022,0.00966986446035461,0.0164488523304572,0.0485699579143301
ck,1956,0.0414071010788777,0.0120873305754433,0.0205610654130715,0.0607124473929126
ck,1957,0.0496885212946532,0.0145047966905319,0.0246732784956858,0.0728549368714951
ck,1958,0.0414071010788777,0.0120873305754433,0.0205610654130715,0.0607124473929126
ck,1959,0.0554855154456961,0.016197022971094,0.0275518276535159,0.0813546795065029
ck,1960,0.0422352431004553,0.0123290771869521,0.020972286721333,0.0619266963407709
ck,1961,0.0571417994888512,0.0166805161941117,0.0283742702700387,0.0837831774022194
ck,1962,0.0298131127767919,0.00870287801431915,0.0148039670974115,0.0437129621228971
ck,1963,0.0331256808631022,0.00966986446035461,0.0164488523304572,0.0485699579143301
ck,1964,0.0356101069278348,0.0103951042948812,0.0176825162552415,0.0522127047579049
ck,1965,0.0405789590573001,0.0118455839639344,0.0201498441048101,0.0594981984450544
ck,1966,0.0198754085178613,0.00580191867621276,0.00986931139827433,0.0291419747485981
