variable,year,mean,sd,lower,upper
b_t,1950,106666.414268498,66992.731474607,48612.9564054583,220367.030995277
b_t,1951,66776.4402909285,46238.0543165073,27118.9985219015,141864.244082021
b_t,1952,51932.8637472091,36900.1771535657,21175.0648071,109293.571772383
b_t,1953,47981.5839761076,34357.7703415758,19697.8843471957,102734.033213064
b_t,1954,46653.8194899275,33898.5723677489,19224.6102250379,97588.6007292385
b_t,1955,46825.4940604802,33187.0863679707,19287.2822242435,98665.9150241581
b_t,1956,51142.6135311081,35824.8664092372,20244.454026922,107374.787187466
b_t,1957,68750.6481235925,48385.7274043779,27240.351900506,144695.391773392
b_t,1958,80451.73161159,57248.3412044176,33175.0169146398,168707.948836323
b_t,1959,94304.2418137592,68713.119924873,37781.5937790829,201211.270337299
b_t,1960,153933.362520906,110387.397888895,61549.2069626709,330951.72907944
b_t,1961,185617.121430645,127977.056059842,76074.2261583114,403154.154425103
b_t,1962,215622.353486114,152113.229781405,86868.6829708206,460251.503485951
b_t,1963,187538.873071353,134619.641061293,77973.4804314874,399554.60604301
b_t,1964,183268.299677481,129511.392896285,73680.1103144178,397033.123709806
b_t,1965,171872.90477781,118613.537771102,70544.6855768581,363674.16437887
b_t,1966,153452.25128167,110215.62484293,61244.6136761203,328215.043109217
b_t,1967,148375.282139032,105055.127871847,59976.3839485519,314751.873588006
b_t,1968,176367.22989424,119843.550044191,71399.4698932246,368374.242528458
b_t,1969,261926.177793013,177869.335904797,105695.725638054,564630.026900342
b_t,1970,288062.270155659,196384.583143459,115009.963746054,614603.802052745
b_t,1971,273166.731609915,188255.57672978,108033.751273816,598005.612769782
b_t,1972,285412.162078349,208045.349358986,117098.864397468,604943.127310919
b_t,1973,282005.791036784,191525.543911977,112825.82992121,608927.037540018
b_t,1974,296615.607268593,210944.952912902,119405.624941034,643972.682034276
b_t,1975,238715.15127461,165702.437714934,98507.3080805223,523183.538573146
b_t,1976,196069.672103224,137799.965407983,78399.8176474317,425536.277092797
b_t,1977,212200.360254423,142831.355400512,86733.7673050326,463482.01968526
b_t,1978,243957.209210696,168450.588768277,102310.168872901,510346.137471137
b_t,1979,271254.830824045,203580.208736562,111344.987795193,583076.962370444
b_t,1980,245921.389276529,177054.274592776,97027.6064745602,527156.113853732
b_t,1981,249729.103983463,165135.44409753,103577.663017908,537187.948928481
b_t,1982,241766.416303585,168709.99454789,99069.4062091567,519725.443869908
b_t,1983,183506.634279217,127208.009417181,73333.8831377441,394747.66008574
b_t,1984,206386.827226073,141115.139125641,86681.8472107587,447571.536837089
b_t,1985,201400.306361997,149517.023519354,82251.2050687383,415991.507970832
b_t,1986,177812.212314549,122984.687942613,73232.0654803676,377445.680331402
b_t,1987,149341.70071082,101820.766210971,60522.5167504644,316755.445414892
b_t,1988,162003.476639409,116024.200605066,65851.4514840299,346951.392980825
b_t,1989,155037.351449468,105597.927814688,63045.8357224439,329646.260268895
b_t,1990,170622.899759879,117439.490639163,70017.9600563705,352023.558323432
b_t,1991,180650.071079197,124337.452942531,75281.0532533376,381043.384147257
b_t,1992,173008.561006572,121597.362124417,69261.000275626,366267.887484944
b_t,1993,169098.859615093,115585.058795017,68910.1271548314,361191.985065394
b_t,1994,167149.287288191,115629.819601475,68026.5683867998,353030.09672521
b_t,1995,160023.264780435,110477.937595561,65169.0460965178,334657.192925857
b_t,1996,138537.172592546,99663.9692308878,55983.8975134364,283979.626766448
b_t,1997,123759.084867125,87668.1449174547,50036.5198190209,260653.274491903
b_t,1998,104480.070100675,76614.4546607322,40757.2665121776,219909.812453167
b_t,1999,99137.642453033,73139.4735491901,39955.6177189333,205229.790603828
b_t,2000,95432.1366848896,68561.5665629401,39583.6194163266,202217.689030723
b_t,2001,94201.5776845312,66169.4808992891,39859.0202231699,200150.021173374
b_t,2002,93182.2412134642,64881.5887748592,39605.5813496219,192811.533418044
b_t,2003,92947.9677485311,65851.5843792462,38375.4021213477,197029.583264487
b_t,2004,102534.7264515,70849.7063618881,43153.7210930504,214566.176565852
b_t,2005,96279.0192371784,66155.8011637907,38989.7130205892,204777.045761085
b_t,2006,88688.8552827448,62124.7625421237,35658.4048198693,192448.090225699
b_t,2007,82297.0602405421,57375.6323666936,34114.2883432618,175633.943670104
b_t,2008,81507.6373748965,56553.4878733711,33335.8883452319,172337.703428223
b_t,2009,79234.9655597246,53880.3067043656,33754.0134679282,168622.736513705
b_t,2010,76562.1321485616,53489.513701404,32406.6189696106,162606.895067436
b_t,2011,77863.51179522,54253.2325669249,32453.0245096516,164380.402437531
b_t,2012,75498.4595747398,51275.0236943847,30886.4951072896,160699.19803764
b_t,2013,68441.7409287726,47598.1033344325,29017.0159066678,147552.29982364
b_t,2014,66860.4766411333,46314.1812004393,27855.7436521324,144668.821199171
b_t,2015,64733.3596708613,43652.4839023219,28200.8662372806,135803.669611041
b_t,2016,59294.7258659167,40040.4276481447,26185.4345982329,124327.561606761
b_t,2017,59408.8700551345,40391.8478941357,25769.619539184,123323.794835584
b_t,2018,61092.4661734349,41483.7802466117,26344.4657239283,127777.471582672
b_t,2019,66176.3358136771,45680.5060492293,27954.0804842952,140774.294087357
bmsy,1950,89611.525894163,54023.0530810247,43206.6823852065,179038.012128807
ck,1950,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1951,0.00413237092640821,0.00164408943061443,0.00167562318894086,0.00694337074108349
ck,1952,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1953,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1954,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1955,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1956,0.00344364243867351,0.00137007452551202,0.00139635265745072,0.00578614228423625
ck,1957,0.00688728487734701,0.00274014905102405,0.00279270531490144,0.0115722845684725
ck,1958,0.00688728487734701,0.00274014905102405,0.00279270531490144,0.0115722845684725
