variable,year,mean,sd,lower,upper
b_t,1950,2229213.65013369,2403571.91547508,392741.916871371,6254146.78887433
b_t,1951,580806.534030453,793676.498388167,54221.3947371891,1731420.83411521
b_t,1952,401426.175510085,549830.316222664,36435.7527460628,1282287.16543992
b_t,1953,327571.073232624,446723.459969652,32650.2123838053,1077703.92715183
b_t,1954,368214.558555442,581077.698671522,33509.6692237816,1295988.8229402
b_t,1955,411237.110035927,576467.768535385,36290.4712610408,1398688.03425836
b_t,1956,403115.026457952,613372.925509171,38727.7396213044,1291024.59008063
b_t,1957,440882.693058232,587379.498584273,45885.2151553134,1361922.53331859
b_t,1958,434066.056876505,628890.918782128,40293.6897672327,1461496.53029243
b_t,1959,445942.672543754,618402.262479672,44176.0649106101,1374254.67884779
b_t,1960,456561.049770709,637198.056627761,45805.1070796313,1548696.42645332
b_t,1961,436020.307705329,583717.668998289,49284.0688329304,1365294.12072496
b_t,1962,357897.89334773,517665.505024964,33285.6976527147,1164917.12630411
b_t,1963,474617.257843139,697270.058024661,46574.7515464937,1483986.88950794
b_t,1964,782991.50825142,1108632.52373199,78849.6089842154,2563195.04480335
b_t,1965,1383162.27391081,1855624.72053791,144279.219692624,4217730.90741559
b_t,1966,3032175.48406327,3448779.31711629,413979.050748138,9400653.94176859
b_t,1967,4635736.83860015,5303232.02872972,684697.739053291,13425475.6541682
b_t,1968,4686794.220828,5756932.25005422,610254.495243298,13909712.7206257
b_t,1969,1849749.81111276,2588674.10060379,208888.553758627,5710701.63106993
b_t,1970,2161244.4839527,2795960.00314069,252780.259551233,7131883.19489186
b_t,1971,2825174.85574511,3629279.82823052,294641.854250371,8539760.78412785
b_t,1972,1785700.34441133,2313569.15093244,144573.1786047,5944080.30107189
b_t,1973,1817770.08577914,2391448.04254253,190586.578564269,5763862.10887143
b_t,1974,2071283.95104212,2745619.00272705,209655.173771883,6919648.12338964
b_t,1975,2903438.36951666,3588720.12160315,342240.644336923,9277429.98232925
b_t,1976,2461376.56761369,3193699.94957995,283468.040164472,8302010.6221133
b_t,1977,2777420.34609148,3665835.12750814,310299.299318688,8856891.55130175
b_t,1978,3211288.75415689,4032234.75222889,392233.505922056,9762183.52305609
b_t,1979,2943753.23978971,3713035.37285345,324391.950442533,9515315.43488262
b_t,1980,2382174.75978303,3046245.41938519,208341.877816642,7879719.88970453
b_t,1981,2364687.09747023,3886519.49138346,248208.870208491,7520217.70842859
b_t,1982,1963113.99419737,2612172.62798928,225761.918586861,6333966.42098653
b_t,1983,2259823.40156794,3211169.33842118,208287.527068692,7186710.1762371
b_t,1984,2101109.40638177,2607131.44170126,218094.614556297,6441561.39913332
b_t,1985,2213077.30308574,3109515.79316761,258847.80186644,7150794.24300554
b_t,1986,2455319.4062309,3386759.49341182,259313.320229895,7755050.36579744
b_t,1987,2105959.70044301,2954581.15338896,224326.507738135,6720601.73471162
b_t,1988,2389720.28580049,4111779.5787023,229136.230453976,7202061.44973806
b_t,1989,2103899.18192599,2675996.62783472,194206.911571481,6902677.69182144
b_t,1990,1972553.93924015,3121244.83842145,208287.345056129,6186613.97075382
b_t,1991,1798372.47743598,2486775.4470674,201218.386605757,5370202.4978044
b_t,1992,1801005.21842322,2477836.4605694,182087.31456834,6453464.33586244
b_t,1993,1643705.18718702,2277080.02060794,153415.349337997,5917146.97151463
b_t,1994,1515568.61252432,2372769.06479613,142554.611239384,4703006.42361645
b_t,1995,1245715.54898764,1752107.71536452,113254.49069091,3932756.54618195
b_t,1996,1256658.69357818,1824070.98339878,132120.57774751,3970604.42082711
b_t,1997,1620470.85985112,2421726.58433915,157923.953820344,5255940.1858221
b_t,1998,1406666.76031698,2452419.08630462,122110.903101165,4242475.99537404
b_t,1999,1162705.38033636,1895510.39541849,103547.520842814,3802541.92360465
b_t,2000,376335.985406988,815787.842592756,30993.6465240636,1139555.8136846
b_t,2001,35826.160668666,54306.121300756,3313.13592218098,111481.069755469
b_t,2002,19105.5544929778,29148.5347995616,1617.42405562463,57679.0971904825
b_t,2003,169780.762633749,235898.019774832,20074.4071447481,526402.257485735
b_t,2004,991119.016907476,1088285.23837176,155536.295233472,2848504.1858652
bmsy,1950,1535808.63633828,1642303.40559098,266398.917028034,4395819.49927149
ck,1950,0.000134346066783477,0.000118605180776313,2.27489187275303e-05,0.000375377913015426
ck,1951,0.000134346066783477,0.000118605180776313,2.27489187275303e-05,0.000375377913015426
ck,1952,0.000201519100175215,0.00017790777116447,3.41233780912955e-05,0.000563066869523139
ck,1953,0.000134346066783477,0.000118605180776313,2.27489187275303e-05,0.000375377913015426
ck,1954,0.000201519100175215,0.00017790777116447,3.41233780912955e-05,0.000563066869523139
ck,1955,0.000268692133566953,0.000237210361552627,4.54978374550607e-05,0.000750755826030852
ck,1956,0.000268692133566953,0.000237210361552627,4.54978374550607e-05,0.000750755826030852
ck,1957,0.000335865166958692,0.000296512951940784,5.68722968188259e-05,0.000938444782538565
ck,1958,0.000268692133566953,0.000237210361552627,4.54978374550607e-05,0.000750755826030852
ck,1959,0.000335865166958692,0.000296512951940784,5.68722968188259e-05,0.000938444782538565
ck,1960,0.00040303820035043,0.00035581554232894,6.8246756182591e-05,0.00112613373904628
ck,1961,0.00040303820035043,0.00035581554232894,6.8246756182591e-05,0.00112613373904628
ck,1962,0.000201519100175215,0.00017790777116447,3.41233780912955e-05,0.000563066869523139
ck,1963,0.000335865166958692,0.000296512951940784,5.68722968188259e-05,0.000938444782538565
ck,1964,0.00080607640070086,0.000711631084657881,0.000136493512365182,0.00225226747809256
ck,1965,0.00114194156765955,0.00100814403659866,0.000193365809184008,0.00319071226063112
ck,1966,0.0112178965764203,0.00990353259482217,0.00189953471374878,0.0313440557367881
ck,1967,0.0843693299400233,0.0744840535275248,0.0142863209608891,0.235737329373688
ck,1968,0.0509843323443294,0.0450106661046109,0.00863321465709776,0.142455917989354
ck,1969,0.0014106337012265,0.00124535439815129,0.000238863646639069,0.00394146808666197
ck,1970,0.0031571325694117,0.00278722174824337,0.000534599590096963,0.00882138095586252
ck,1971,0.00617991907203993,0.00545583831571042,0.0010464502614664,0.0172673839987096
ck,1972,0.00167932583479346,0.00148256475970392,0.000284361484094129,0.00469222391269283
ck,1973,0.00194801796836041,0.00171977512125654,0.00032985932154919,0.00544297973872368
ck,1974,0.00276417032407003,0.00244030159447265,0.000468059002818937,0.00772340056029239
ck,1975,0.00696651529305718,0.00615027164915573,0.00117964518061609,0.0194652216794149
ck,1976,0.00332506515289105,0.00293547822421376,0.000563035738506376,0.0092906033471318
ck,1977,0.00538727727801741,0.00475606774913017,0.000912231640973967,0.0150526543119186
ck,1978,0.00945729137122284,0.00834921170074858,0.0016014101338245,0.0264247281867209
ck,1979,0.00696651529305718,0.00615027164915573,0.00117964518061609,0.0194652216794149
ck,1980,0.00390544016139567,0.00344785260516743,0.000661311067409307,0.0109122359313584
ck,1981,0.00466382370838839,0.00411737885064972,0.000789728713626216,0.0130312442503305
ck,1982,0.00304226668231183,0.00268581431867962,0.000515149264584925,0.00850043284023433
ck,1983,0.00460135278733408,0.00406222744158874,0.000779150466417914,0.0128566935207783
ck,1984,0.00444416788919741,0.00392345938008045,0.000752534231506704,0.0124175013625503
ck,1985,0.0049385614149606,0.00435992644533728,0.000836250252424015,0.0137988920824471
ck,1986,0.00728290028033227,0.00642958684988395,0.00123321888421942,0.0203492366645663
ck,1987,0.00675223331653754,0.00596109638581751,0.00114336065524567,0.0188664939081553
ck,1988,0.00678850675456907,0.00599311978462712,0.00114950286330211,0.0189678459446695
ck,1989,0.00700278873108872,0.00618229504796534,0.00118578738867252,0.0195665737159291
ck,1990,0.00703032967477933,0.00620660911002448,0.00119045091701166,0.0196435261880973
ck,1991,0.00659101803639736,0.00581877016888594,0.00111606195277264,0.0184160404125368
ck,1992,0.00527577004258713,0.00465762544908583,0.000893350038430116,0.0147410906441158
ck,1993,0.00527375485158538,0.00465584637137418,0.000893008804649204,0.0147354599754206
ck,1994,0.00527173966058362,0.00465406729366254,0.000892667570868291,0.0147298293067253
ck,1995,0.00356084250009605,0.00314363031647619,0.000602960090873192,0.00994939158447387
ck,1996,0.00384565616167702,0.00339507329972197,0.000651187798575556,0.0107451927600666
ck,1997,0.00661251340708272,0.00583774699781015,0.00111970177976904,0.0184761008786193
ck,1998,0.00666154972145869,0.0058810378887935,0.00112800513510459,0.0186131138168699
ck,1999,0.00809838090570797,0.00714952029719617,0.00137130482089553,0.0226277805965699
ck,2000,0.00513739359380015,0.00453546211288623,0.00086991865214076,0.0143544513937099
ck,2001,2.55257526888606e-05,2.25349843474996e-05,4.32229455823076e-06,7.1321803472931e-05
ck,2002,3.35865166958692e-06,2.96512951940784e-06,5.68722968188259e-07,9.38444782538565e-06
ck,2003,0.000951841883160932,0.000840317705800181,0.000161176089184552,0.00265955251371429
ck,2004,0.000229060043865828,0.000202221833223614,3.87869064304392e-05,0.000640019341691302
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.726243702071331,0.0778718211203934,0.617706768025966,0.867871116329549
dep_t,1951,0.190863898400178,0.13914647085165,0.0564417703301109,0.479701442665682
dep_t,1952,0.136675019102131,0.110026209621947,0.034685745502907,0.357597030705913
dep_t,1953,0.110785998141914,0.0936475439442369,0.0292274599226795,0.249277247684946
dep_t,1954,0.116044131037437,0.0954349551548193,0.0309087332708083,0.268933905243946
dep_t,1955,0.132493710990645,0.105914576697533,0.0350474313925593,0.30724222972618
dep_t,1956,0.132545496570885,0.106594547976099,0.0359182449445701,0.312101717074466
dep_t,1957,0.1531808764504,0.115493398865388,0.0402564096420286,0.410277353928236
dep_t,1958,0.14846093568107,0.121920525441464,0.0357079449244649,0.359693528712828
dep_t,1959,0.150061149090016,0.109308258566424,0.0387368037210484,0.346285264307744
dep_t,1960,0.155326818464505,0.124909514007604,0.0394393579029386,0.436557836665625
dep_t,1961,0.148614753332965,0.112862507773351,0.0394117545119081,0.351388102939083
dep_t,1962,0.114844431200081,0.0898057725914965,0.0323617980688721,0.264078055074938
dep_t,1963,0.155598056299212,0.119236117602302,0.0459704479970031,0.366430501636036
dep_t,1964,0.258451490762382,0.204419057124185,0.0761900563573049,0.592262909668853
dep_t,1965,0.464820804583479,0.329813332887691,0.128333852768274,1.05432982348032
dep_t,1966,1.02413432678977,0.487968472175947,0.36644258382255,1.89549199509141
dep_t,1967,1.49248580322179,0.456344928834251,0.783134870160819,2.19895902643381
dep_t,1968,1.52342787252546,0.578841970319484,0.629348113736629,2.4682217195224
dep_t,1969,0.595022509259723,0.379502808267005,0.192990748756586,1.32679795220135
dep_t,1970,0.709557065706593,0.421514966028884,0.225025836575753,1.53621937932051
dep_t,1971,0.92592595415993,0.524222736904656,0.265930068573485,1.92437438284979
dep_t,1972,0.590517536709248,0.424405984233301,0.131708990800154,1.46077292682423
dep_t,1973,0.592192377387451,0.391194584036964,0.177442510552347,1.35356946713261
dep_t,1974,0.677238646126097,0.457244057266765,0.180936240134263,1.56517470824465
dep_t,1975,0.978038350129773,0.540436451410426,0.292499395460762,1.98246796345356
dep_t,1976,0.80937484152694,0.480761068639007,0.220364781242629,1.73831093823863
dep_t,1977,0.916834184173737,0.512251612811312,0.270889699809146,1.95913407775233
dep_t,1978,1.056723087341,0.51250183792928,0.356770290972465,1.95249631568581
dep_t,1979,0.961701542279881,0.554594545266117,0.299112249318144,2.11056766730473
dep_t,1980,0.762930099761052,0.471409496269764,0.187791371183333,1.68170014622666
dep_t,1981,0.808030651798574,0.530187002778794,0.223541041082377,1.8967721947266
dep_t,1982,0.665520292009651,0.43620603830867,0.190584887838137,1.53094193847352
dep_t,1983,0.709761252851377,0.439855036340827,0.19987405786859,1.60805104731494
