variable,year,mean,sd,lower,upper
b_t,1950,12200.1124233369,1165.46647538408,10839.2035565924,14421.1473091558
b_t,1951,12055.8471755894,1137.27728661509,10768.0391424007,14216.1712960906
b_t,1952,17398.7774554008,1208.13339252543,15480.2123573298,19714.5513323118
b_t,1953,18489.3273409324,1179.01638107582,16562.558737368,20472.594674519
b_t,1954,18576.7573651348,1707.3545598405,15934.3171638441,21172.8342131749
b_t,1955,20428.8334126235,2539.87879237704,16710.7966073396,25210.5328418753
b_t,1956,14045.487963669,967.050371837015,12731.3059512797,15839.226136207
b_t,1957,10822.5956014374,869.06605089623,9647.56648003268,12618.9304937798
b_t,1958,12634.8459383121,956.420702038258,11155.7617396328,14285.8166398099
b_t,1959,12614.8984092446,969.924053326768,11039.2270318272,14152.7829020136
b_t,1960,11618.9214427052,1180.5081111777,9915.04607152319,14050.0720815608
b_t,1961,21505.4263815678,2449.53888882901,18819.0345027275,26740.8349835191
b_t,1962,18354.8299332354,1533.36914732546,16485.2231617123,21260.7994330183
b_t,1963,13085.4271114406,1347.37106394424,11325.3930217512,15804.714242266
b_t,1964,13198.001431762,2280.23757355973,10493.6807623809,17467.6728715109
b_t,1965,13520.8132586289,1006.84833094128,12205.669138961,15308.4304794467
b_t,1966,9954.62645185466,904.53599698697,8925.69704546379,11772.2126027873
b_t,1967,10994.1645971616,979.814196209119,9368.15325655735,12853.1092769353
b_t,1968,12951.1132910938,1058.03186025038,11408.2487185026,14769.8737665905
b_t,1969,17817.9590289533,938.971113781245,16253.2191612844,19269.2679698701
b_t,1970,13584.667417916,2143.11124828518,11260.9709768059,17629.9113092412
b_t,1971,11210.127786397,1483.04022426854,9153.78999258111,13938.9487349212
b_t,1972,11905.693269707,1402.32752329756,9901.80413684412,14259.729301595
b_t,1973,22351.3915419001,2656.63986381926,18643.6602129832,25913.6370085975
b_t,1974,20960.5257586698,1990.76371309332,17906.0073127817,23934.6446372409
b_t,1975,24894.7284166583,2947.78246173997,21585.2146715391,30994.8449442743
b_t,1976,15011.7794882592,2575.67190272343,12251.0404640787,20262.878520275
